Keyword,Pages,Weibo ID,Author name,Author gender,Follow Counts,Followers Counts,Posting Time,Repost Counts,Comment Counts,Like Counts,IP location province,IP location country,Contents
年轻人不上学不上进只上香,3,4.88E+15,废话精和大哑巴,male,29,1,2023/3/22 7:34,0,0,0,河南,中国,#年轻人不上学不上进只上香#只看到上香，看不到上进，合着你也在寺庙里待着呢 
年轻人不上学不上进只上香,3,4.88E+15,玉面俏山魈,male,205,153,2023/3/22 2:43,0,0,5,美国,美国,#年轻人不上学不上进只上香# 请问新京报还记得当年你是怎么评论刘学州的吗？我替你记着呢！ 
年轻人不上学不上进只上香,3,4.88E+15,陈如是说,male,882,80.6万,2023/3/21 20:26,37,19,261,上海,中国,本该朝气勃勃的年轻人为啥要去问神佛，更该反思的难道不是国家、社会、单位？
年轻人不上学不上进只上香,3,4.88E+15,Vista看天下,male,2231,2608.3万,2023/3/21 20:45,55,120,866,北京,中国,【新京报快评：#年轻人不上学不上进只上香# 】如今一些年轻人格外偏爱寺庙游，到清幽禅静中去寻找心灵慰藉，将人生转机寄托于超自然力量，成为了一个引人关注的社会现象。有在线票务平台数据显示，今年以来，寺庙相关景区门票订单量同比增长 310%；2月以来预订门票的人群中，90后、00后占比接近 50%。相关监测数据也显示，2019年，“寺庙”在社交平台上还处于籍籍无名的状态，4年时间过去，而今的搜索量增长了368 倍。其中原因倒也好理解。如今年轻人也面临不小的压力，考研究生、找好工作、摆脱单身等。而压力之下，年轻人寻找一个释放压力、转移焦虑的渠道，选中了香火氤氲、庄严宝相的寺庙。但是，压力之下，一些年轻人如果真的把自己的生活希望寄托在神佛之上，这样的生活之路也显然走偏了。这在某种程度上也说明了求神拜佛的虚妄。如今许愿、祈祷几乎无所不在，除了实体寺庙，网络上还有“赛博许愿”，一段视频、一场直播都有无数人在许愿。且不说这么多愿望神佛能不能处理得过来，至少这些愿望本身很多就相互冲突——比如，一位考生祈祷考研上榜，则必然有另一位祈祷者要落榜，这种矛盾又该如何平衡呢？这也凸显了此一行为的现实荒唐性。因此，只要仔细想想就能知道，乞灵于神佛终究是靠不住的。把逛寺庙当作休闲放松，当作积极的心理慰藉，这当然没什么。但有的人如果入戏过深，把超自然力量当作了解答，而放弃了自身的努力、在现实世界的奋斗，恐怕就是捡了芝麻丢了西瓜，忽视了改变命运的真正关键——自己。年轻人不该“不上课不上进只上香”，奋斗才是青春的底色。（新京报快评）网页链接
年轻人不上学不上进只上香,3,4.88E+15,一碗黑芝麻丸子,female,74,460,2023/3/21 20:36,0,2,10,北京,中国,#年轻人不上学不上进只上香# 你要批就不能只批年轻人不上学不上进只上香 你还要批考研卷上了400分 批150进不了京考面试 批寒意侵袭的秋招春招 批剥削廉价劳动力的资本家 批一年年上涨的物价 居高不下的房价 批日渐严重的老龄化 拿不出还要从年轻人手里骗的养老金 批吃饱了没事干也没志向去挑大粪的媒体 你觉得我说的对吗？新京报@新京报
年轻人不上学不上进只上香,3,4.88E+15,KKailcy,male,225,41,2023/3/21 20:24,0,0,1,湖北,中国,#年轻人不上学不上进只上香# 你看看这个配图，里面有几个是年轻人？ @新京报 
年轻人不上学不上进只上香,4,4.88E+15,驴铁鱼,female,35,25,2023/3/21 18:15,0,0,2,江苏,中国,上学：“小镇做题家” 上班：“不愿脱下长衫” 什么也不做：“年轻人不上学不上进只上香”  
年轻人不上学不上进只上香,4,4.88E+15,徐自期,male,294,4180,2023/3/21 17:31,0,1,4,湖北,中国,#年轻人不上学不上进只上香# 某京报是啥成分报告，建议取消，不要管那么宽！ 
年轻人不上学不上进只上香,4,4.88E+15,歪比巴巴比卜,female,676,5,2023/3/21 16:23,0,1,5,吉林,中国,#年轻人不上学不上进只上香#我不仅上香 我还给你上坟呢 
媒体评年轻人不上课不上进只上香,2,4.93E+15,大辉不当韭菜,male,77,69,2023/8/5 21:40,0,1,1,江苏,中国,上班和上进怎么选呢！算了～还是上香吧！ （今天能黑两个度）#重元寺##媒体评年轻人不上课不上进只上香# 苏州·重元寺 
媒体评年轻人不上课不上进只上香,2,4.93E+15,觀菩-小张同学,male,765,9259,2023/7/29 18:21,0,5,207,北京,中国,雍和宫 法物流通处柜台图 #雍和宫# #雍和宫香灰琉璃# #媒体评年轻人不上课不上进只上香# 北京·雍和宫 
媒体评年轻人不上课不上进只上香,2,4.93E+15,BBei尔,female,270,915,2023/7/23 9:18,0,0,2,河南,中国,我宣布我已经有精神寄托了 这个月上班感恩普贤菩萨🙏 抢到宿舍感恩文殊菩萨🙏 真实演绎#媒体评年轻人不上课不上进只上香# 
媒体评年轻人不上课不上进只上香,2,4.93E+15,8023_designer_henry,male,74,1,2023/7/22 17:12,0,0,15,四川,中国,「卷 ～卷 ～卷」 现在“求佛”的人越来越多了，年轻主力军的加入。佛也被卷～～ 佛祖:“这逼班不上也罢” 我:“我佛慈悲，再听听我这凡人小小的心愿吧” #媒体评年轻人不上课不上进只上香##这届年轻人开始赛博拜佛##不想上班# 
媒体评年轻人不上课不上进只上香,2,4.93E+15,七月的厦夏,female,394,1044,2023/7/21 22:06,0,0,1,福建,中国,关于自己的日常…一周更一次…因为没啥时间受伤了 减少了锻炼频率 …也顺带又换了新的教练…希望能跟的长久点…（教练很实诚第一句就是你确定你需要找教练？你这随便都是教人的我就当他奉承我吧）四果汤是夏天必备的神器…闺蜜送的手链很喜欢…我喜欢一切关于寺庙的东西很多年前就是#媒体评年轻人不上课不上进只上香# 我是单纯的觉得那个氛围和香气让我心安 日常保养很有必要…每次感觉皮肤不错 清完闭口一脸红肿
媒体评年轻人不上课不上进只上香,2,4.92E+15,考研动态君,female,90,29.1万,2023/7/8 11:35,1,0,4,北京,中国,考研 在上班和上学之间选择上香，为什么越来越多的年轻人选择寺庙游？  #媒体评年轻人不上课不上进只上香# #2024考研#   网页链接 
媒体评年轻人不上课不上进只上香,2,4.91E+15,湖里养鲸,female,187,179,2023/5/29 14:23,0,11,5,北京,中国,#媒体评年轻人不上课不上进只上香#巧了 不仅给全家上香 还给姥姥请串 
媒体评年轻人不上课不上进只上香,2,4.91E+15,吃饭用盆吃,female,973,2519,2023/5/29 12:15,0,0,2,河北,中国,#媒体评年轻人不上课不上进只上香#我就爱上香，你能咋滴！雍和宫白云观我的精神寄托。 我不光烧香，我还算命，我还会算命 咋滴 
媒体评年轻人不上课不上进只上香,2,4.91E+15,长得这么漂亮怎么是个妖怪,female,31,60,2023/5/29 11:11,1,0,3,山东,中国,#媒体评年轻人不上课不上进只上香#  我觉得也是一种上进吧 就想自己的生命里 是不是还有一种美好的东西 在前面等着我 证明他还有上进心 ——余华 
媒体评年轻人不上课不上进只上香,3,4.90E+15,枫冷慕诗,male,46,57万,2023/5/5 16:59,1,0,12,湖北,中国,#媒体评年轻人不上课不上进只上香#最近一个热门的话题引起了我的思考，年轻人为什么越来越喜欢去寺庙？有人说这是迷信，不信科学信宗教，也有人说这是一种躺平的心态，根本不值得推崇，但我却通过这种现象有了更深入的思考。当代年轻人之所以热衷去寺庙，根源在于社会环境压力太大，在现实中很难获得认可和支持，他们感到焦虑、迷茫，找不到前行的方向，所以只能去一个与世隔绝的地方，寻得片刻的宁静，诉说自己现实中无法实现的愿望。想一想我们的父辈，他们成长于改开的春风之中，那时候中国百业待兴，胆大敢做敢闯就有可能打拼出一份自己的事业。再想一想我们的兄长，他们虽然错过了大学毕业包分配的历史良机，但当他们进入社会的时候，正好遇到了中国加入世贸之后的黄金十年，经济高速腾飞，房价也处于温和可控的范围，努努力，也能过上不错的生活。但是等到现在这批90后和00后的年轻人进入社会工作的时候，他们面对的是什么环境？赚钱的教培行业被调控，高薪的互联网行业发展遇到了瓶颈，楼市经过几轮上涨，已经到了他们只敢远观的地步。当他们996加班月薪只有6000却要面对均价3-4万的房价时，他们一定会问自己一个问题——努力的意义到底是什么？这就是当代年轻人热衷于去寺庙的内在原因，根源还是社会环境催生的群体现象，而不是很多人批评的迷信、躺平、没斗志，任何离开现实空谈理想的行为，通通都是甩流氓！#微博新知博主##为什么寺庙旅游突然火了#
媒体评年轻人不上课不上进只上香,3,4.90E+15,梗豆是个耿直girl,male,48,25,2023/5/1 8:12,0,1,0,湖南,中国,#媒体评年轻人不上课不上进只上香#  突然理解了马克思说的，古代人为什么信神佛宗教，也明白印度为什么信奉来世，是因为现实过于无望。有些人不是没有慈悲心，只是站在上面太久了，又或许是为了流量博眼球，才会听不见下面的哭声，写这些搞笑点评。 虽然生活很难，但还是要努力的生活下去💪 
媒体评年轻人不上课不上进只上香,3,4.90E+15,开心市民小钟,female,264,460,2023/4/29 16:06,0,0,2,浙江,中国,我的努力方式： 祖宗保佑 菩萨保佑 财神保佑 月老保佑🙏嘉兴·福严寺佛教文化旅游区#媒体评年轻人不上课不上进只上香# 嘉兴·福严禅寺 
媒体评年轻人不上课不上进只上香,3,4.89E+15,mhy坏事干尽,female,567,42,2023/4/24 22:48,0,0,0,江西,中国,#媒体评年轻人不上课不上进只上香#天天年轻人长年轻人短，管好你自己好不好别一天到晚责怪别人不上进 
媒体评年轻人不上课不上进只上香,3,4.89E+15,大包包包包包包包砸,female,561,461,2023/4/20 21:13,0,0,0,江苏,中国,#媒体评年轻人不上课不上进只上香#呵，年轻人这点自由都没了么？？？ 
媒体评年轻人不上课不上进只上香,3,4.89E+15,用户6149251086,female,89,1,2023/4/19 8:33,0,0,10,广东,中国,#媒体评年轻人不上课不上进只上香#原帖在哪里啊，我想去评论聊聊天。 
媒体评年轻人不上课不上进只上香,3,4.89E+15,食用乳酸屁王,female,30,78,2023/4/18 2:30,0,0,0,新加坡,新加坡,每天七点二十起床去nus上课 还好只上上午..🥱 明天我必吃到松发肉骨茶 #媒体评年轻人不上课不上进只上香# 
媒体评年轻人不上课不上进只上香,3,4.89E+15,复旦梁永安,male,15,20.3万,2023/4/14 19:11,130,26,479,北京,中国,前些天去了一趟北京的雍和宫，发现去烧香许愿的游客有很多是年轻人，好像去寺庙游玩成了一种新潮流。一些媒体针对这种现象进行了批评，而在我看来，年轻人的烧香拜佛反而反映出了他们的积极心态，不该再对他们施加压力。#暖春心动季##雍和宫##媒体评年轻人不上课不上进只上香# 复旦梁永安的微博视频 
媒体评年轻人不上课不上进只上香,4,4.89E+15,蓝炎5555,male,174,8,2023/4/16 2:51,0,0,1,湖南,中国,#媒体评年轻人不上课不上进只上香# 无论是以前文学作品的批判，还是当今世界的“呐喊”，都没有什么大用。如果硬要说是有用，也许，这只体现在人民群众与“人民”的用处上罢 
媒体评年轻人不上课不上进只上香,4,4.89E+15,武工院青年,male,216,6795,2023/4/15 13:41,8,0,20,湖北,中国,近日，关于#媒体评年轻人不上课不上进只上香#的话题冲上热搜，资料介绍称如今一些年轻人格外偏爱寺庙游，到清幽禅静中去寻找心灵慰藉，将人生转机寄托于超自然力量，成为一个引人关注的社会现象，引人深思。 
媒体评年轻人不上课不上进只上香,4,4.89E+15,Ezoey徐佩玲,female,1353,42.4万,2023/4/13 18:44,5,11,6,北京,中国,【夜游灵隐vlog】很殊胜的因缘，夜间来到灵隐。 基本每年都会来，喜欢这里的磁场。 万籁俱寂，空谷幽香。 在这里，点上三支香，感受这份静谧。  #水逆退散##灵隐寺##媒体评年轻人不上课不上进只上香#星座 杭州·灵隐寺 Ezoey徐佩玲的微博视频 
媒体评年轻人不上课不上进只上香,4,4.89E+15,多巴胺管够,female,2,3,2023/4/12 15:06,0,0,0,广东,中国,如何避免班上不下去了？职场上，找个干活搭子，互相精神支持，业务互帮互助，熬过一个又一个恶心的老板，不合理的任务，冗长的加班夜。假如你有了，务必好好珍惜TA有助于延长职业寿命，避免冲动辞职和抑郁。#为什么有人上班可以很快乐##年轻人找工作更关心什么##媒体评年轻人不上课不上进只上香#
媒体评年轻人不上课不上进只上香,4,4.89E+15,种花家的鲁迅,male,523,120,2023/4/10 9:19,0,0,3,广东,中国,#媒体评年轻人不上课不上进只上香# 和买彩票的行为一样，这类人多了，说明年轻人上升通道变窄了，贫富差距越来越大，只能寄希望于心灵安慰和幻想 
媒体评年轻人不上课不上进只上香,4,4.89E+15,是我的海_a,female,111,59,2023/4/10 8:57,0,0,0,湖南,中国,#媒体评年轻人不上课不上进只上香# 十八岁了还要上课偷溜出去透气… 
媒体评年轻人不上课不上进只上香,4,4.89E+15,Ezoey徐佩玲,female,1353,42.4万,2023/4/10 0:27,5,9,6,北京,中国,兜率寺做义工、植树vlog【佩玲占星日常vlog】忘不了这磁场宁静的2天，在夜里供灯，听着师父更鼓暮歌，打坐、抄经、开示、行堂。看着院落里最美的木兰花，花开花落，风去风来……那么宁静，那么美好……跟大家分享这两天，随喜。#水逆退散##十二星座##媒体评年轻人不上课不上进只上香#星座 保定·兜率寺 Ezoey徐佩玲的微博视频
媒体评年轻人不上课不上进只上香,5,4.89E+15,轻刀快马live,male,194,292,2023/4/9 11:21,1,1,6,上海,中国,一个洞察：越是充满不确定性的时候，越是难以把握个体命运的时候，年轻人越是有可能把时间投入在健身、养宠和烧香上。因为这三样都属于那种在不确定性的大背景下，为数不多可以抓住的确定性：身体不会欺骗你，主子不会抛下你，佛祖不会假装看不见你。#媒体评年轻人不上课不上进只上香##大学生# 北京·雍和宫
媒体评年轻人不上课不上进只上香,5,4.89E+15,彭绍望,male,71,113,2023/4/7 22:17,0,0,3,北京,中国,#媒体评年轻人不上课不上进只上香#还有一个没有提到的，更多的人涌向了橘子洲头。 
媒体评年轻人不上课不上进只上香,5,4.89E+15,北国股侠,male,728,1.3万,2023/4/6 22:06,0,0,3,北京,中国,#媒体评年轻人不上课不上进只上香# 虽然说烧香拜佛并不能真正帮助人们解决愿望，但至少可以给普通人一个与自己内心对话的机会，让焦虑的灵魂暂时得到心理寄托，那一刻身心是可以得到抚慰的。同时，寺庙之地，人们都会低声交流，谦虚礼让，非常有耐心，把自己最善良的一面展现出来。虽然是暂时的，但也算是一种功德。
媒体评年轻人不上课不上进只上香,5,4.89E+15,水中明月映幽香,male,719,67,2023/4/6 21:32,0,0,5,福建,中国,#媒体评年轻人不上课不上进只上香#只谈奉献不谈回报，一个年轻人，正常工作正常生活正常纳税正常消费，不违法犯罪不游行示威，没有不良嗜好，在其他任何国家都算良好公民，在这里叫躺平。996不够上进，还要多上进才叫上进？一天干30个小时？只上班不拿工资？你怎么不叫奶牛只产奶不吃草？怎么不让车不加油冲电还能一直跑？
媒体评年轻人不上课不上进只上香,5,4.89E+15,省呗-官微,male,65,22.6万,2023/4/4 16:00,4208,53,49,广东,中国,#媒体评年轻人不上课不上进只上香#？ 私以为你们可能是不太懂当代青年： 奋斗一直是我们的底色，但年轻人也有情感的刚需！  为此，省呗君特意举办一场仿句大赛！ 带话题 #好耶疯狂星期寺# 并@省呗-官微 省呗君将随机翻牌送出50元京东卡哦！快来加入吧 
媒体评年轻人不上课不上进只上香,5,4.89E+15,Moonpie边闹闹,female,121,268,2023/4/5 18:14,1,0,20,内蒙古,中国,#媒体评年轻人不上课不上进只上香#  句句不谈薪资 条条不离奉献 桩桩不谈好处 事事皆讲境界 
媒体评年轻人不上课不上进只上香,5,4.89E+15,维他百宝箱,female,3,7,2023/4/4 18:03,0,1,0,天津,中国,平常心是什么？ 平常心就是清净心。有了清净心就有了定力。有了定力，就有了智慧。有了智慧就有了慈悲。有了慈悲就有了功德。修一颗平常心，修一世功德#平常心##情绪##我的佛系生活##媒体评年轻人不上课不上进只上香# 
媒体评年轻人不上课不上进只上香,6,4.89E+15,会飞的小道童,female,57,5,2023/4/1 12:18,0,0,3,江苏,中国,#媒体评年轻人不上课不上进只上香#年轻人不上进的话，年轻人会去求？ 难道不是因为很上进 所以才来道观求祖师爷护佑 希望更好 
媒体评年轻人不上课不上进只上香,6,4.88E+15,三联生活周刊,male,851,2469.2万,2023/3/30 13:30,31,30,155,北京,中国,#去雍和宫上香的人在求什么##如何看待媒体评年轻人不上课不上进只上香#  被各种媒体和自媒体当作标题狂轰乱炸后，连我这个常年不在北京的出差党也知道了，大城市的年轻人爱烧香。事实到底是怎么样呢，没有调查就没有发言权，周末去雍和宫观察了两天，我发现其实也还好。首先，寺庙里的年轻人的确不少，从服装和鞋子便可以看出，烧香拜佛的年轻面孔很多，但其它年纪的香客也不少。其中的问题在于，年轻人更容易被辨识出来，因为比起中年人，青春的外形和打扮更显眼。雍和宫里，排队最长的要属法物流通处，而且这里排队的确实以年轻人为主。近些年，雍和宫开发出了各种风格的香灰手串，戴在身上既好看又吉利，价格也是年轻消费者能承受的，比起商场的其它珠宝首饰，便宜太多倍。毕竟是京城第一大庙出品，性价比极高。所以第一印象上，年轻人挤爆雍和宫，是个非常容易得出的结论。但作为摄影师，周末在雍和宫拍了一天后，通过取景器的观察，看着画面里烧香人群的面孔和眼神，突然意识到，除去社交媒体对网红打卡和香灰手串的追捧外，大多数在这里进香的人，显然都是“有所求”的，看着被摄对象的眼神和表情，让我作为一名观察者，却并不轻松，看看拍下的照片，心情甚至有点沉重。很多敬香人的脸色凝重，眼神里充满了求助感，让我意识到，这并不是游客或休闲者的状态。大家来到这里，显然都是带有一定困惑和求助感的。回想自己，作为八零后，我童年的一大记忆便是小时候跟着父母练气功。六岁的暑假，每天清晨五六点就被长辈叫起床，跟着他们去不同的地点练同一种叫“香功”的气功，其实按那个时期的年龄算，我的父母也算当时的年轻人。昔日的八零后，成为今天的中年人后，也逐渐明白，八十年代的“气功热”，正是不知所措的社会变革期间，人们内心对神秘力量和美好愿景之间的一种集体无意识行为。读大学后，正好赶上扩招，毕业形势相对以前的师兄们也是严峻的挑战。当时前途略显渺茫的我，经常坐公交去长江边溜达，途经中南神学院的教堂，也会不自觉地进去坐一会儿，让内心平静。现在回想，每一轮的人生大事，感觉都是命运把我按在地上摩擦几轮，让你陷入绝望，再爬起来，硬着头皮顶上去。无论人身处于何种位置，总是会一些时刻，充满无力感，想要求助。翻翻历史书，会发现曾经上千年时间里，最爱烧香拜佛的，其实并不是普通老百姓，而是处于这个社会金字塔上层的群体，这是有史料佐证的。看着雍和宫里烧香的年轻人，其实作为中年人，危机一点都不少。在这个快速变化的时代，有几个人敢自信满满的笃定，下一个十年里，自己的工种和行业是没有危机感的？联系到当下的考公考编热，说穿了不过是在一个不确定的预期里，寻找相对稳定的工作机会。但是，预测未来对普通人来说是不可能做到的，现在到了所有一切都面临着大变动的时代，没有永远的铁饭碗了。当下最好的投资，永远都是自己的身心健康和谋生技能。写到最后，作为一个有了点社会阅历和生活经验的中年人，对现在的社交媒体讨论，其实我是有一点个人看法的，我为自己的成长环境里，信息传播没有如此过剩和发达感到庆幸。流量之上，男女话题，年龄话题，现在都是各大媒体和自媒体热衷的词汇，年轻人烧香仿佛也成了被高度概括的标签性行为。其实无论男性还是女性，中年人还是年轻人，大家遇到的问题都是复杂而具体的，高度概括的标签化，也许能让争论变得热闹，但并不能真正帮助我们认识现实，认识现实背后庞杂的背景以及其中具体个人。如果非要总结一句，那也许是，大家乘坐的，其实都是同一条船。（图&amp;文 | 黄宇）
媒体评年轻人不上课不上进只上香,6,4.89E+15,巨浪教育研究院,female,100,7.3万,2023/3/30 17:30,0,0,8,北京,中国,【年轻人热衷上香祈祷，有错吗？】寺庙游火了，90后、00后正努力将自己修炼成真正的“佛系青年”，有人说香炉里燃烧的都是当代年轻人的焦虑，你怎么看待这一现象？#为什么浙江的寺庙比较灵##媒体评年轻人不上课不上进只上香# 巨浪教育研究院的微博视频 
